text,labels
The sun was shining brightly .,O O O O O O
A dog barked loudly in the distance .,O B-ANIMAL O O O O O O
She decided to adopt a cat from the shelter .,O O O O O B-ANIMAL O O O O
The elephant walked slowly across the savanna .,O B-ANIMAL O O O O O O
He saw a butterfly fluttering near the flowers .,O O O B-ANIMAL O O O O O
The chicken laid an egg in the morning .,O B-ANIMAL O O O O O O O
They rode a horse through the forest .,O O O B-ANIMAL O O O O
The cow grazed peacefully in the meadow .,O B-ANIMAL O O O O O O
A sheep was sheared for its wool .,O B-ANIMAL O O O O O O
The spider spun a web in the corner .,O B-ANIMAL O O O O O O O
A squirrel scurried up the tree .,O B-ANIMAL O O O O O
The children played in the park .,O O O O O O O
He read a book about history .,O O O O O O O
She baked a cake for the party .,O O O O O O O O
The train arrived on time .,O O O O O O
A dog and a cat played together .,O B-ANIMAL O O B-ANIMAL O O O
The elephant is the largest land animal .,O B-ANIMAL O O O O O O
Butterflies are beautiful creatures .,B-ANIMAL O O O O
The chicken crossed the road .,O B-ANIMAL O O O O
He fed the horse some hay .,O O O B-ANIMAL O O O
The cow produced fresh milk .,O B-ANIMAL O O O O
She knitted a scarf from the sheep 's wool .,O O O O O O B-ANIMAL O O O
The spider 's web was intricate .,O B-ANIMAL O O O O O
A squirrel stored nuts for winter .,O B-ANIMAL O O O O O
The sunset was breathtaking .,O O O O O
She admired the painting on the wall .,O O O O O O O O
He heard a dog barking in the neighborhood .,O O O B-ANIMAL O O O O O
The horse galloped across the field .,O B-ANIMAL O O O O O
An elephant 's trunk is very strong .,O B-ANIMAL O O O O O O
Butterflies are often seen in gardens .,B-ANIMAL O O O O O O
The chicken was roasted for dinner .,O B-ANIMAL O O O O O
She petted the cat gently .,O O O B-ANIMAL O O
The cow mooed loudly in the barn .,O B-ANIMAL O O O O O O
A sheep 's wool is used for clothing .,O B-ANIMAL O O O O O O O
The spider caught a fly in its web .,O B-ANIMAL O O O O O O O
A squirrel jumped from branch to branch .,O B-ANIMAL O O O O O O
They went hiking in the mountains .,O O O O O O O
The sky was clear and blue .,O O O O O O O
He wrote a letter to his friend .,O O O O O O O O
The ocean waves were calm .,O O O O O O
A dog chased its tail in circles .,O B-ANIMAL O O O O O O
The horse neighed loudly .,O B-ANIMAL O O O
An elephant 's memory is remarkable .,O B-ANIMAL O O O O O
Butterflies are symbols of transformation .,B-ANIMAL O O O O O
The chicken laid eggs daily .,O B-ANIMAL O O O O
She adored her cat 's playfulness .,O O O B-ANIMAL O O O
The cow chewed its cud peacefully .,O B-ANIMAL O O O O O
A sheep 's bleat was heard far away .,O B-ANIMAL O O O O O O O
The spider 's web gleamed in the sunlight .,O B-ANIMAL O O O O O O O
A squirrel darted across the path .,O B-ANIMAL O O O O O
The rain poured heavily all day .,O O O O O O O
He built a sandcastle on the beach .,O O O O O O O O
The wind howled through the trees .,O O O O O O O
A dog wagged its tail happily .,O B-ANIMAL O O O O O
The horse was groomed carefully .,O B-ANIMAL O O O O
An elephant 's ears are large and floppy .,O B-ANIMAL O O O O O O O
Butterflies fluttered around the garden .,B-ANIMAL O O O O O
The chicken was cooked to perfection .,O B-ANIMAL O O O O O
She brushed the cat 's fur .,O O O B-ANIMAL O O O
The cow was milked in the morning .,O B-ANIMAL O O O O O O
A sheep 's fleece was soft and white .,O B-ANIMAL O O O O O O O
The spider repaired its web after the storm .,O B-ANIMAL O O O O O O O
A squirrel hid nuts in the ground .,O B-ANIMAL O O O O O O
The stars twinkled in the night sky .,O O O O O O O O
He drank a cup of coffee .,O O O O O O O
The river flowed gently through the valley .,O O O O O O O O
A dog howled at the moon .,O B-ANIMAL O O O O O
The horse was ridden by a young girl .,O B-ANIMAL O O O O O O O
An elephant 's trunk is used for drinking .,O B-ANIMAL O O O O O O O
Butterflies are attracted to bright colors .,B-ANIMAL O O O O O O
The chicken was fried and served for lunch .,O B-ANIMAL O O O O O O O
She fed the cat some fish .,O O O B-ANIMAL O O O
The cow was grazing in the field .,O B-ANIMAL O O O O O O
A sheep was herded by the farmer .,O B-ANIMAL O O O O O O
The spider 's web was destroyed by the rain .,O B-ANIMAL O O O O O O O O
A squirrel ran up the tree trunk .,O B-ANIMAL O O O O O O
The sun rose early in the morning .,O O O O O O O O
He played the guitar by the campfire .,O O O O O O O O
The moon was full and bright .,O O O O O O O
"The dog barked at the mailman while the cat watched from the windowsill , and a squirrel scurried across the yard .",O B-ANIMAL O O O O O O B-ANIMAL O O O O O O O B-ANIMAL O O O O O
"She decided to visit the zoo , where she saw an elephant , a horse , and a butterfly in the enclosure .",O O O O O O O O O O O B-ANIMAL O O B-ANIMAL O O O B-ANIMAL O O O O
The farmer fed the cow and the sheep before heading out to tend to his fields in the early morning .,O O O O B-ANIMAL O O B-ANIMAL O O O O O O O O O O O O O
"A spider spun an intricate web in the corner of the barn , while a chicken pecked at the ground nearby .",O B-ANIMAL O O O O O O O O O O O O O B-ANIMAL O O O O O O
The children laughed and played in the park until they saw a dog chasing its tail .,O O O O O O O O O O O O B-ANIMAL O O O O
"He read a book about wildlife , learning about the behavior of elephants and the habits of squirrels in the forest .",O O O O O O O O O O O O B-ANIMAL O O O O B-ANIMAL O O O O
The train pulled into the station as a horse and cart waited nearby to transport passengers to the village .,O O O O O O O O B-ANIMAL O O O O O O O O O O O
She baked a cake for the party and decorated it with butterflies and flowers to make it look beautiful .,O O O O O O O O O O O B-ANIMAL O O O O O O O O
"The sunset painted the sky in shades of orange and pink , while a cat sat on the fence observing the scene .",O O O O O O O O O O O O O O B-ANIMAL O O O O O O O O
He heard a loud noise outside and found a dog and a squirrel chasing each other around the backyard .,O O O O O O O O O B-ANIMAL O O B-ANIMAL O O O O O O O
"The ocean waves crashed against the shore , and a butterfly fluttered past as she walked along the beach .",O O O O O O O O O O B-ANIMAL O O O O O O O O O
"A cow and a sheep grazed together in the meadow , while a horse watched from a distance .",O B-ANIMAL O O B-ANIMAL O O O O O O O O B-ANIMAL O O O O O
The children were excited to see a butterfly and a spider in the garden during their nature walk .,O O O O O O O B-ANIMAL O O B-ANIMAL O O O O O O O O
"He spent the morning cleaning the barn , where a chicken and a cat kept him company as he worked .",O O O O O O O O O O B-ANIMAL O O B-ANIMAL O O O O O O O
"The wind rustled the leaves of the trees , and a squirrel leaped from one branch to another above him .",O O O O O O O O O O O B-ANIMAL O O O O O O O O O
"She admired the beauty of the elephant as it stood majestically in the wild , surrounded by its herd .",O O O O O O B-ANIMAL O O O O O O O O O O O O O
